provider,consumer
http://biodiversity.org.au/afd/taxa/5cb164c5-b587-497f-9e49-ff5de24e6990,http://eol.org/pages/70995/data#data_point_18628375
http://bioinfo.org.uk,http://eol.org/pages/70995/data#data_point_18628389
http://dx.doi.org/10.6084/m9.figshare.1168861,http://eol.org/pages/70995/data#data_point_18368158
http://inaturalist.org/observations/1110546,http://eol.org/pages/70995/data#data_point_17809879
http://inaturalist.org/observations/1070857,http://eol.org/pages/70995/data#data_point_17955668
http://inaturalist.org/observations/1070837,http://eol.org/pages/70995/data#data_point_17268685
http://inaturalist.org/observations/349424,http://eol.org/pages/70995/data#data_point_17710998
http://inaturalist.org/observations/125384,http://eol.org/pages/70995/data#data_point_16968228
http://inaturalist.org/observations/115438,http://eol.org/pages/70995/data#data_point_18421631
http://inaturalist.org/observations/305842,http://eol.org/pages/70995/data#data_point_17710988
http://inaturalist.org/observations/129996,http://eol.org/pages/70995/data#data_point_18368141
http://inaturalist.org/observations/256890,http://eol.org/pages/70995/data#data_point_18628179
http://inaturalist.org/observations/312825,http://eol.org/pages/70995/data#data_point_18338166
http://inaturalist.org/observations/858930,http://eol.org/pages/70995/data#data_point_16585018
http://inaturalist.org/observations/858934,http://eol.org/pages/70995/data#data_point_18188175
http://inaturalist.org/observations/913286,http://eol.org/pages/70995/data#data_point_16968229
http://inaturalist.org/observations/1117898,http://eol.org/pages/70995/data#data_point_18628376
http://inaturalist.org/observations/1122574,http://eol.org/pages/70995/data#data_point_17268647
http://inaturalist.org/observations/1171057,http://eol.org/pages/70995/data#data_point_18628125
,http://eol.org/pages/70995/data#data_point_18628390
http://inaturalist.org/observations/832760,http://eol.org/pages/576395/data#data_point_18365783
,http://eol.org/pages/576395/data#data_point_18365786
http://inaturalist.org/observations/446627,http://eol.org/pages/467679/data#data_point_16936969
http://inaturalist.org/observations/698939,http://eol.org/pages/467679/data#data_point_18370396
http://inaturalist.org/observations/748502,http://eol.org/pages/467679/data#data_point_18370392
http://dx.doi.org/10.6084/m9.figshare.1168861,http://eol.org/pages/266262/data#data_point_18217390
http://inaturalist.org/observations/124539,http://eol.org/pages/266262/data#data_point_18018265
http://inaturalist.org/observations/289886,http://eol.org/pages/266262/data#data_point_18217394
http://inaturalist.org/observations/739156,http://eol.org/pages/266262/data#data_point_18217403
http://inaturalist.org/observations/756068,http://eol.org/pages/266262/data#data_point_18217384
http://inaturalist.org/observations/124542,http://eol.org/pages/266262/data#data_point_18217381
http://inaturalist.org/observations/276282,http://eol.org/pages/266262/data#data_point_18217391
http://dx.doi.org/10.6084/m9.figshare.1168861,http://eol.org/pages/596527/data#data_point_18595849
http://dx.doi.org/10.6084/m9.figshare.1168861,http://eol.org/pages/180109/data#data_point_18477452
http://inaturalist.org/observations/356958,http://eol.org/pages/180109/data#data_point_16924150
http://inaturalist.org/observations/390698,http://eol.org/pages/180109/data#data_point_18477480
http://inaturalist.org/observations/397852,http://eol.org/pages/180109/data#data_point_18477462
http://inaturalist.org/observations/377690,http://eol.org/pages/180109/data#data_point_18477446
http://inaturalist.org/observations/412419,http://eol.org/pages/180109/data#data_point_17061507
http://inaturalist.org/observations/459801,http://eol.org/pages/180109/data#data_point_18477457
http://inaturalist.org/observations/390114,http://eol.org/pages/180109/data#data_point_18477461
http://inaturalist.org/observations/517369,http://eol.org/pages/180109/data#data_point_16948534
http://inaturalist.org/observations/383817,http://eol.org/pages/180109/data#data_point_17615612
http://inaturalist.org/observations/446243,http://eol.org/pages/180109/data#data_point_18061409
http://inaturalist.org/observations/392490,http://eol.org/pages/180109/data#data_point_18258211
http://inaturalist.org/observations/377563,http://eol.org/pages/180109/data#data_point_18296374
http://inaturalist.org/observations/453822,http://eol.org/pages/180109/data#data_point_18477533
http://inaturalist.org/observations/517344,http://eol.org/pages/180109/data#data_point_18477453
http://inaturalist.org/observations/722478,http://eol.org/pages/180109/data#data_point_16928235
http://inaturalist.org/observations/1157231,http://eol.org/pages/180109/data#data_point_18477488
,http://eol.org/pages/180109/data#data_point_18477542
http://dx.doi.org/10.6084/m9.figshare.1168861,http://eol.org/pages/583755/data#data_point_17969155
http://biodiversity.org.au/afd/taxa/5e7abc5c-9c87-4a02-a1db-e0d540ba39c9,http://eol.org/pages/885/data#data_point_17060322
http://biodiversity.org.au/afd/taxa/97f7681e-3902-4c91-831c-827b0e45099c,http://eol.org/pages/885/data#data_point_17060364
