"identifier","publicationType","full_reference","primaryTitle","title","pages","pageStart","pageEnd","volume","edition","publisher","authorList","editorList","created","language","uri","doi","schema#localityName"
globi:ref:151,,"Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1",,,,,,,,,,,,,,doi:10.1007/s13127-011-0039-1,
globi:ref:1,,"Layman, CA, Allgeier, JE. 2012. Characterizing trophic ecology of generalist consumers: a case study of the invasive lionfish in The Bahamas. Mar Ecol Prog Ser, Vol. 448: 131Ð141.",,,,,,,,,,,,,,doi:10.3354/meps09511,
globi:ref:221,,"J Christmas, Allison Perry, Richard Waller (1974) Investigations of coastal pelagic fishes",,,,,,,,,,,,,http://research.myfwc.com/game/Survey.aspx?id=2633,,
globi:ref:222,,"John Finucane, Churchill Grimes, Steven Naughton (1990) Diets of young king and Spanish mackerel off the southern United States",,,,,,,,,,,,,http://research.myfwc.com/game/Survey.aspx?id=2709,,
globi:ref:219,,"William Blanton, Carolyn Blanton, Michael Robinson (1972) The ecological impact of mercury discharge on an enclosed secondary bay",,,,,,,,,,,,,http://research.myfwc.com/game/Survey.aspx?id=3196,,
globi:ref:218,,"Dale Beaumariage (1973) Age, growth, and reproduction of king mackerel, Scomberomorus cavalla, in Florida.  ",,,,,,,,,,,,,http://research.myfwc.com/game/Survey.aspx?id=2550,,
globi:ref:220,,"Herbert Boschung, H Boschung (1957) The fishes of Mobile Bay and the Gulf coast of Alabama",,,,,,,,,,,,,http://research.myfwc.com/game/Survey.aspx?id=3179,,
globi:ref:217,,"Regina Divita, Mischelle Creel, Peter Sheridan (1983) Foods of coastal fishes during brown shrimp Penaeus aztecus, migration from Texas estuaries (June - July 1981). ",,,,,,,,,,,,,http://research.myfwc.com/game/Survey.aspx?id=2689,,
globi:ref:216,,Robert Rogers (1977) Trophic interrelationships of selected fishes on the continental shelf of the northern Gulf of Mexico,,,,,,,,,,,,,http://research.myfwc.com/game/Survey.aspx?id=3017,,
globi:ref:215,,"James D. Simons <a href=""http://www.ingentaconnect.com/content/umrsmas/bullmar/2013/00000089/00000001/art00009"">Building a Fisheries Trophic Interaction Database for Management and Modeling Research in the Gulf of Mexico Large Marine Ecosystem.</a>",,,,,,,,,,,,,,,
globi:ref:228,,"Carl Saloman, Steven Naughton (1983) Food of king mackerel, Scomberomorus cavalla, from the southeastern United States including the Gulf of Mexico",,,,,,,,,,,,,http://research.myfwc.com/game/Survey.aspx?id=3042,,
globi:ref:226,,"Edgar Peleaz Rodriguez (1996) Relaciones de ecológicas los peces ictiófagos demersales de la zona de pesca comercial de camarón de Alvarado, Ver",,,,,,,,,,,,,http://research.myfwc.com/game/Survey.aspx?id=2973,,
globi:ref:231,,Maria Vega-Cendejas (1998) Trama trófica de la comunidad nectónica asociada al ecosistema de manglar en el litoral norte de Yucatán,,,,,,,,,,,,,http://research.myfwc.com/game/Survey.aspx?id=3142,,
globi:ref:227,,L Robinson (1948) Report on the menhaden investigation,,,,,,,,,,,,,http://research.myfwc.com/game/Survey.aspx?id=3012,,
globi:ref:230,,"Edwin Linton (1907) Preliminary report on animal parasites collected at Tortugas, Florida, June 30 to July 18, 1906",,,,,,,,,,,,,http://research.myfwc.com/game/Survey.aspx?id=3247,,
globi:ref:224,,"Frank Knapp, Frank Knapp (1948) A partial analysis of the Texas menhaden problem with notes on the food of the more important fishes of the Texas gulf coast",,,,,,,,,,,,,http://research.myfwc.com/game/Survey.aspx?id=2823,,
globi:ref:225,,"Dewey Miles, Dewey Miles (1949) A study of the food habits of the fish of the Aransas Bay area",,,,,,,,,,,,,http://research.myfwc.com/game/Survey.aspx?id=2920,,
globi:ref:223,,"Robert Kemp (1949)  Report on stomach analysis from June 1, 1949 through August 31, 1949",,,,,,,,,,,,,http://research.myfwc.com/game/Survey.aspx?id=2818,,
globi:ref:229,,"N Vick (1964) The marine ichthyofauna of St. Andrew Bay, Florida, and nearshore habitats of the northeastern Gulf of Mexico",,,,,,,,,,,,,http://research.myfwc.com/game/Survey.aspx?id=3147,,
globi:ref:234,,"William Longley, Samuel Hildebrand (1941) Systematic catalog of the fishes of Tortugas Florida.",,,,,,,,,,,,,http://research.myfwc.com/game/Survey.aspx?id=2862,http://dx.doi.org/10.2307/2421042,
globi:ref:238,,Sonia Palacios Sanchez (2001) Estructura y función de la comunidad íctica en dos sistemas costeros del Estado de Tabasco impactados por petróleo,,,,,,,,,,,,,http://research.myfwc.com/game/Survey.aspx?id=2969,,
globi:ref:232,,"Everlin Yepez-Dominguez (2003) Analisis de las relaciones tróficas del gremio planctófago en la comunidad ictica de la zona litoral de playa Barrancas, Mpio. de Alvarado, Veracruz",,,,,,,,,,,,,http://research.myfwc.com/game/Survey.aspx?id=3171,,
globi:ref:236,,Francisco Montalvo Campos (2001) Analisis comparativo de las relaciones tróficas de algunas especies de la familia Carangidae en el Bayo Veracruz.,,,,,,,,,,,,,http://research.myfwc.com/game/Survey.aspx?id=2931,,
globi:ref:237,,"Karla Padilla Mancera (2005) Comparacion de las dietas de peces ictiofagos de las Barrancas Mpio. de Alvarado, Veracruz.",,,,,,,,,,,,,http://research.myfwc.com/game/Survey.aspx?id=2968,,
globi:ref:239,,"Armando Rodriguez Perez (1990) Estudio de la alimentacion de la ictiofauna del sistema estuarino de Tecolutla, Veracruz, Mexico. ",,,,,,,,,,,,,http://research.myfwc.com/game/Survey.aspx?id=3013,,
globi:ref:235,,"Adlemy Alarcon Sosa (2007) Aspectos tróficos de la ictiofauna de la laguna de Sontecomapan, Ver. Durante la temporada de secas del 2005. ",,,,,,,,,,,,,http://research.myfwc.com/game/Survey.aspx?id=2519,,
globi:ref:240,,"James Seagle (1969) Predator-prey relationships in turtle grass (Thalassia testudinum Konig) beds in Redfish Bay, Texas. ",,,,,,,,,,,,,http://research.myfwc.com/game/Survey.aspx?id=3061,,
globi:ref:233,,Robert McMichael (2012) Florida Marine Fisheries Trophic Database,,,,,,,,,,,,,,,
globi:ref:247,,"Eugenie Clark, Catherine von Schmidt (1965) Sharks of the Central Gulf Coast of Florida",,,,,,,,,,,,,http://research.myfwc.com/game/Survey.aspx?id=2636,,
globi:ref:244,,"J Baughman, Stewart Springer (1950) Biological and Economic Notes on the Sharks of the Gulf of Mexico, With Especial Reference to Those of Texas, and With a Key for their Identification",,,,,,,,,,,,,http://research.myfwc.com/game/Survey.aspx?id=2549,http://dx.doi.org/10.2307/2421758,
globi:ref:241,,"Daniel Torruco, Alicia Gonzalez (1994) Estructura tróficas de la comunidad de peces en el litoral frente a Laguna Verde, Veracruz, México.",,,,,,,,,,,,,http://research.myfwc.com/game/Survey.aspx?id=3133,,
globi:ref:242,,"Marina Sanchez-Ramirez (1997) Alimentacion, crecimiento y mortalidad de larvas de Chloroscombrus chrysurus (Pisces: Carangidae), en el sur del Golfo de Mexico",,,,,,,,,,,,,http://research.myfwc.com/game/Survey.aspx?id=3051,,
